"cohen_d_xaxis","cohen_d_yaxis","pvalue_negneg","pvalue_pospos","xaxis","yaxis","feat","cancer_type","nPosX","nPosY","nSamplesX","nSamplesY"
-0.16424397191528,-0.16424397191528,NA,NA,"Cisplatin","Oxaliplatin","SBS4/45L","SKCM",8,8,48,48
0.0788646652349067,0.0788646652349067,NA,NA,"Cisplatin","Oxaliplatin","SBS5L","SKCM",13,13,48,48
0.396280392914227,0.396280392914227,0.772277227722772,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS6","SKCM",13,13,48,48
0.749915081090411,0.749915081090411,0.99009900990099,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS7a","SKCM",34,34,48,48
0.408111757768483,0.408111757768483,0.732673267326733,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS7b","SKCM",36,36,48,48
0.153770710893074,0.153770710893074,NA,NA,"Cisplatin","Oxaliplatin","SBS7dL","SKCM",4,4,48,48
0.435946141960007,0.435946141960007,0.841584158415842,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS8L/4L","SKCM",10,10,48,48
-0.6103849577656,-0.6103849577656,0.0099009900990099,0.930693069306931,"Cisplatin","Oxaliplatin","SBS10b","SKCM",15,15,48,48
-0.11934286414049,-0.11934286414049,NA,NA,"Cisplatin","Oxaliplatin","SBS11","SKCM",15,15,48,48
-0.422574765534981,-0.422574765534981,0.0198019801980198,0.851485148514851,"Cisplatin","Oxaliplatin","SBS12/26L","SKCM",10,10,48,48
-0.336892305582364,-0.336892305582364,0.0297029702970297,0.663366336633663,"Cisplatin","Oxaliplatin","SBS13","SKCM",5,5,48,48
0.617058999158766,0.617058999158766,0.841584158415842,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS14","SKCM",6,6,48,48
-0.522830161634414,-0.522830161634414,0.0495049504950495,0.653465346534653,"Cisplatin","Oxaliplatin","SBS17aL","SKCM",3,3,48,48
0.227844920213641,0.227844920213641,0.386138613861386,0.148514851485149,"Cisplatin","Oxaliplatin","SBS17b","SKCM",3,3,48,48
0.0395849298309455,0.0395849298309455,NA,NA,"Cisplatin","Oxaliplatin","SBS18/36L","SKCM",9,9,48,48
0.0147444808218399,0.0147444808218399,NA,NA,"Cisplatin","Oxaliplatin","SBS19L","SKCM",10,10,48,48
-0.453659809018998,-0.453659809018998,0.099009900990099,0.554455445544555,"Cisplatin","Oxaliplatin","SBS20","SKCM",3,3,48,48
0.643064302716345,0.643064302716345,0.772277227722772,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS22L","SKCM",4,4,48,48
0.100131607862652,0.100131607862652,NA,NA,"Cisplatin","Oxaliplatin","SBS23/11L","SKCM",19,19,48,48
0.0478490907596966,0.0478490907596966,NA,NA,"Cisplatin","Oxaliplatin","SBS24L","SKCM",11,11,48,48
-0.303909887922568,-0.303909887922568,0.0693069306930693,0.544554455445545,"Cisplatin","Oxaliplatin","SBS25L","SKCM",4,4,48,48
-0.207291613781127,-0.207291613781127,0.0693069306930693,0.534653465346535,"Cisplatin","Oxaliplatin","SBS28","SKCM",14,14,48,48
-0.174368809256449,-0.174368809256449,NA,NA,"Cisplatin","Oxaliplatin","SBS29L/18L","SKCM",5,5,48,48
-0.126235312919437,-0.126235312919437,NA,NA,"Cisplatin","Oxaliplatin","SBS30L/7bL/11L","SKCM",26,26,48,48
-0.242522732610567,-0.242522732610567,0.138613861386139,0.514851485148515,"Cisplatin","Oxaliplatin","SBS31L","SKCM",6,6,48,48
0.128448684266816,0.128448684266816,NA,NA,"Cisplatin","Oxaliplatin","SBS32L","SKCM",11,11,48,48
0.0369197882379575,0.0369197882379575,NA,NA,"Cisplatin","Oxaliplatin","SBS36/56L","SKCM",12,12,48,48
0.25920121284748,0.25920121284748,0.653465346534653,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS38/45L","SKCM",18,18,48,48
-0.0394465952609953,-0.0394465952609953,NA,NA,"Cisplatin","Oxaliplatin","SBS40L","SKCM",40,40,48,48
0.362031075617403,0.362031075617403,0.732673267326733,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS42L","SKCM",21,21,48,48
-0.578647340290341,-0.578647340290341,0.0099009900990099,0.762376237623762,"Cisplatin","Oxaliplatin","SBS43/60L","SKCM",7,7,48,48
0.207976301485463,0.207976301485463,0.306930693069307,0.227722772277228,"Cisplatin","Oxaliplatin","SBS44L","SKCM",2,2,48,48
0.253585564499615,0.253585564499615,0.564356435643564,0.0594059405940594,"Cisplatin","Oxaliplatin","SBS45/38L/4L","SKCM",18,18,48,48
-0.133626154325485,-0.133626154325485,NA,NA,"Cisplatin","Oxaliplatin","SBS46L","SKCM",15,15,48,48
-2.48010666970847,-2.48010666970847,0.0099009900990099,1,"Cisplatin","Oxaliplatin","SBS48L","SKCM",2,2,48,48
-0.666917620443218,-0.666917620443218,0.0396039603960396,0.752475247524752,"Cisplatin","Oxaliplatin","SBS49","SKCM",4,4,48,48
0.123464877948433,0.123464877948433,NA,NA,"Cisplatin","Oxaliplatin","SBS54","SKCM",4,4,48,48
-0.575367653797062,-0.575367653797062,0.0099009900990099,0.881188118811881,"Cisplatin","Oxaliplatin","SBS55L/60L","SKCM",12,12,48,48
-0.236321139154669,-0.236321139154669,0.0891089108910891,0.613861386138614,"Cisplatin","Oxaliplatin","SBS56/10aL/36L","SKCM",7,7,48,48
0.352130819698989,0.352130819698989,0.673267326732673,0.0693069306930693,"Cisplatin","Oxaliplatin","SBS59","SKCM",6,6,48,48
-0.422897267331116,-0.422897267331116,0.0297029702970297,0.574257425742574,"Cisplatin","Oxaliplatin","SBS-CL1","SKCM",4,4,48,48
0.133446383598428,0.133446383598428,NA,NA,"Cisplatin","Oxaliplatin","SBS-CL2","SKCM",4,4,48,48
-0.0652881885617897,-0.0652881885617897,NA,NA,"Cisplatin","Oxaliplatin","SBS-CL3","SKCM",18,18,48,48
-0.722343803970272,-0.722343803970272,0.0099009900990099,0.920792079207921,"Cisplatin","Oxaliplatin","SBS-CL4","SKCM",43,43,48,48
-0.551161840883374,-0.551161840883374,0.0495049504950495,0.693069306930693,"Cisplatin","Oxaliplatin","SBS2","BLCA",9,9,16,16
0.0548193171110369,0.0548193171110369,NA,NA,"Cisplatin","Oxaliplatin","SBS4/45L","BLCA",7,7,16,16
0.206344805541183,0.206344805541183,0.415841584158416,0.118811881188119,"Cisplatin","Oxaliplatin","SBS5L","BLCA",5,5,16,16
0.58628558790975,0.58628558790975,0.722772277227723,0.0495049504950495,"Cisplatin","Oxaliplatin","SBS6","BLCA",5,5,16,16
-0.487084987753897,-0.487084987753897,0.0099009900990099,0.673267326732673,"Cisplatin","Oxaliplatin","SBS7dL","BLCA",8,8,16,16
1.1925152673938,1.1925152673938,0.97029702970297,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS8L/4L","BLCA",7,7,16,16
-0.18612806536666,-0.18612806536666,NA,NA,"Cisplatin","Oxaliplatin","SBS10b","BLCA",6,6,16,16
-0.206414213197719,-0.206414213197719,0.138613861386139,0.356435643564356,"Cisplatin","Oxaliplatin","SBS12/26L","BLCA",3,3,16,16
-1.30365320538243,-1.30365320538243,0.0099009900990099,0.98019801980198,"Cisplatin","Oxaliplatin","SBS13","BLCA",12,12,16,16
-0.12391987227435,-0.12391987227435,NA,NA,"Cisplatin","Oxaliplatin","SBS16L","BLCA",4,4,16,16
-0.641682853045046,-0.641682853045046,0.0891089108910891,0.574257425742574,"Cisplatin","Oxaliplatin","SBS17aL","BLCA",2,2,16,16
0.0877524891415258,0.0877524891415258,NA,NA,"Cisplatin","Oxaliplatin","SBS17b","BLCA",5,5,16,16
0.402663411479631,0.402663411479631,0.603960396039604,0.0693069306930693,"Cisplatin","Oxaliplatin","SBS18/36L","BLCA",4,4,16,16
-0.684382150156117,-0.684382150156117,0.0198019801980198,0.693069306930693,"Cisplatin","Oxaliplatin","SBS19L","BLCA",3,3,16,16
-0.403742892672324,-0.403742892672324,0.0396039603960396,0.693069306930693,"Cisplatin","Oxaliplatin","SBS22L","BLCA",5,5,16,16
0.634670505092933,0.634670505092933,0.702970297029703,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS24L","BLCA",5,5,16,16
0.855226804806924,0.855226804806924,0.920792079207921,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS25L","BLCA",4,4,16,16
0.877664106606658,0.877664106606658,0.752475247524752,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS26/12L","BLCA",2,2,16,16
0.28617958337864,0.28617958337864,0.435643564356436,0.108910891089109,"Cisplatin","Oxaliplatin","SBS28","BLCA",4,4,16,16
0.332103005927279,0.332103005927279,0.455445544554455,0.148514851485149,"Cisplatin","Oxaliplatin","SBS29L/18L","BLCA",4,4,16,16
-0.651195844025333,-0.651195844025333,0.0297029702970297,0.732673267326733,"Cisplatin","Oxaliplatin","SBS30L/7bL/11L","BLCA",6,6,16,16
