sample_id,cancer_type,feature,bina
1240198,OV,SBS1,0
1240199,OV,SBS1,0
1240200,OV,SBS1,0
1240204,HNSC,SBS1,0
1240206,HNSC,SBS1,0
1240208,PAAD,SBS1,0
1240209,STAD,SBS1,0
1240210,SARC,SBS1,0
1240212,CESC,SBS1,0
1240215,UCEC,SBS1,0
1240216,LIHC,SBS1,0
1240217,LIHC,SBS1,0
1240219,PAAD,SBS1,0
1240220,KIRC,SBS1,0
1240221,EWING,SBS1,0
1240222,OV,SBS1,1
1240223,THCA,SBS1,0
1240224,KIRC,SBS1,0
1240226,SKCM,SBS1,0
1247871,ALL/CLL,SBS1,0
1247873,LUAD,SBS1,0
1287381,LUAD,SBS1,0
1287706,SKCM,SBS1,0
1290722,THCA,SBS1,0
1290724,HNSC,SBS1,1
1290725,HNSC,SBS1,0
1290730,BLCA,SBS1,0
1290765,BONE,SBS1,0
1290767,BONE,SBS1,0
1290768,BONE,SBS1,0
1290769,COREAD,SBS1,0
1290771,COREAD,SBS1,1
1290795,BONE,SBS1,0
1290797,PAAD,SBS1,0
1290798,BRCA,SBS1,0
1290806,STAD,SBS1,0
1290808,MESO,SBS1,0
1290809,MESO,SBS1,0
1290810,MESO,SBS1,0
1290812,MESO,SBS1,0
1290813,MESO,SBS1,0
1290814,MESO,SBS1,0
1290905,BRCA,SBS1,0
1290907,COREAD,SBS1,0
1290908,LUAD,SBS1,0
1290922,BRCA,SBS1,0
1295740,ALL/CLL,SBS1,0
1295741,MM,SBS1,1
1297438,SCLC,SBS1,0
1297439,SCLC,SBS1,0
1297446,ALL/CLL,SBS1,1
1297447,MM,SBS1,0
1297449,DLBC,SBS1,0
1298134,CESC,SBS1,0
1298136,PAAD,SBS1,0
1298141,PAAD,SBS1,0
1298144,SKCM,SBS1,0
1298145,SKCM,SBS1,0
1298146,LIHC,SBS1,0
1298151,LIHC,SBS1,0
1298156,HNSC,SBS1,0
1298157,BRCA,SBS1,0
1298160,SKCM,SBS1,0
1298167,THCA,SBS1,0
1298168,KIRC,SBS1,0
1298169,KIRC,SBS1,0
1298215,HNSC,SBS1,0
1298216,PAAD,SBS1,0
1298218,PAAD,SBS1,0
1298219,PAAD,SBS1,0
1298222,ESCA,SBS1,0
1298223,LUSC,SBS1,0
1298226,LUSC,SBS1,0
1298347,LUAD,SBS1,0
1298348,LUAD,SBS1,0
1298349,SCLC,SBS1,0
1298350,LUAD,SBS1,0
1298351,LUSC,SBS1,0
1298352,LUSC,SBS1,0
1298353,LUSC,SBS1,0
1298356,LUSC,SBS1,0
1298357,STAD,SBS1,0
1298358,STAD,SBS1,0
1298359,ESCA,SBS1,0
1298362,HNSC,SBS1,0
1298365,OV,SBS1,0
1298475,PAAD,SBS1,0
1298476,PAAD,SBS1,0
1298526,PAAD,SBS1,0
1298529,HNSC,SBS1,0
1298531,HNSC,SBS1,0
1298533,PAAD,SBS1,0
1298534,PAAD,SBS1,0
1298537,LUAD,SBS1,0
1298538,LUSC,SBS1,0
1299050,HNSC,SBS1,0
1299052,HNSC,SBS1,0
1299059,HNSC,SBS1,0
1299061,SARC,SBS1,0
1299062,SCLC,SBS1,0
1299064,ESCA,SBS1,0
1299069,STAD,SBS1,0
1299070,OV,SBS1,0
1299075,PRAD,SBS1,0
1299078,SKCM,SBS1,0
1299080,SKCM,SBS1,0
1299081,SKCM,SBS1,0
1303896,LYMP,SBS1,0
1303897,DLBC,SBS1,0
1303900,BRCA,SBS1,0
1303901,SCLC,SBS1,0
1303911,BRCA,SBS1,0
1303912,BONE,SBS1,0
1322212,SCLC,SBS1,0
1322218,HL,SBS1,0
1322224,STAD,SBS1,0
1323913,LAML,SBS1,0
1327765,DLBC,SBS1,0
1327766,MM,SBS1,0
1327768,DLBC,SBS1,0
1327769,DLBC,SBS1,0
1327771,LCML,SBS1,0
1327773,DLBC,SBS1,0
1327774,ALL/CLL,SBS1,0
1327775,MM,SBS1,0
1330931,LCML,SBS1,1
1330932,LAML,SBS1,0
1330933,ALL/CLL,SBS1,0
1330935,HL,SBS1,0
1330941,BRCA,SBS1,0
1330942,LAML,SBS1,0
1330947,LAML,SBS1,0
1330948,LAML,SBS1,0
1330950,MM,SBS1,0
1330960,ALL/CLL,SBS1,0
1330964,SCLC,SBS1,0
1330972,SCLC,SBS1,0
1330973,SCLC,SBS1,0
1330975,PRAD,SBS1,0
1330981,ALL/CLL,SBS1,0
1330982,DLBC,SBS1,0
1330983,LAML,SBS1,1
1330984,DLBC,SBS1,0
1330985,LAML,SBS1,0
1330987,LYMP,SBS1,0
1330991,LAML,SBS1,0
1330993,PRAD,SBS1,0
